loss,accuracy,val_loss,val_accuracy,lr
1.859765648841858,0.48112499713897705,1.427832841873169,0.5820000171661377,0.001
1.2668530941009521,0.6680750250816345,1.3107249736785889,0.6593000292778015,0.001
1.0989047288894653,0.7514749765396118,1.3484843969345093,0.66839998960495,0.001
0.9842882752418518,0.8077750205993652,1.2740062475204468,0.6966999769210815,0.001
0.8890578150749207,0.8565250039100647,1.4504250288009644,0.6399999856948853,0.001
0.8101640343666077,0.8978750109672546,1.2479312419891357,0.7163000106811523,0.001
0.7639281153678894,0.9223499894142151,1.2308530807495117,0.7229999899864197,0.001
0.737610936164856,0.9301499724388123,1.3027499914169312,0.6800000071525574,0.001
0.6741937398910522,0.9578250050544739,1.5731281042099,0.6596999764442444,0.001
0.6295734643936157,0.9747750163078308,1.16425621509552,0.7542999982833862,0.001
0.5985773205757141,0.9853000044822693,1.1812686920166016,0.7542999982833862,0.001
0.5763038992881775,0.9906250238418579,1.0166374444961548,0.7886000275611877,0.001
0.5532078146934509,0.9961000084877014,1.0442312955856323,0.7857000231742859,0.001
0.5364382863044739,0.9982249736785889,0.9494492411613464,0.8208000063896179,0.001
0.5212875008583069,0.9998250007629395,0.9163468480110168,0.8281000256538391,0.001
0.5131531357765198,1.0,0.8884015679359436,0.8382999897003174,0.001
0.5081577897071838,1.0,0.8659929633140564,0.8495000004768372,0.001
0.5050593614578247,1.0,0.8772023320198059,0.8467000126838684,0.001
0.5035836100578308,1.0,0.8704054951667786,0.8500999808311462,0.001
0.5027859210968018,1.0,0.8657835721969604,0.8517000079154968,0.001
0.5022976398468018,1.0,0.8678960800170898,0.8492000102996826,0.001
0.5020312666893005,1.0,0.8717312216758728,0.8492000102996826,0.001
0.5017656087875366,1.0,0.8764289021492004,0.8485000133514404,0.001
0.5015531182289124,1.0,0.8805421590805054,0.8468000292778015,0.001
0.5013718605041504,1.0,0.8846046924591064,0.8454999923706055,0.001
0.5012999773025513,1.0,0.8883718848228455,0.8434000015258789,0.001
0.5012468695640564,1.0,0.8919773697853088,0.842199981212616,0.001
0.5014812350273132,1.0,0.8978148698806763,0.8389999866485596,0.001
0.5023070573806763,1.0,0.9193023443222046,0.8295999765396118,0.001
0.5256211161613464,0.9921500086784363,2.8520686626434326,0.302700012922287,0.001
0.6027085781097412,0.9681500196456909,0.8802812695503235,0.8416000008583069,0.000100000005
0.5143031477928162,0.9997749924659729,0.8734539151191711,0.8431000113487244,0.000100000005
0.5072148442268372,0.9999750256538391,0.8736703395843506,0.8456000089645386,0.000100000005
0.5051453113555908,1.0,0.8740500211715698,0.8449000120162964,0.000100000005
0.5041656494140625,1.0,0.8746500015258789,0.8450999855995178,0.000100000005
0.5036156177520752,1.0,0.8757968544960022,0.8452000021934509,0.000100000005
0.5031640529632568,1.0,0.8768327832221985,0.843999981880188,0.000100000005
0.5027734637260437,1.0,0.8777562379837036,0.843999981880188,0.000100000005
0.5024140477180481,1.0,0.8788773417472839,0.8449000120162964,0.000100000005
0.5022265911102295,1.0,0.8799257874488831,0.8445000052452087,0.000100000005
0.5019999742507935,1.0,0.8783562779426575,0.8439000248908997,1.0000001e-05
0.5019656419754028,1.0,0.8784187436103821,0.8442000150680542,1.0000001e-05
0.5019375085830688,1.0,0.8787570595741272,0.8439000248908997,1.0000001e-05
0.5019312500953674,1.0,0.8790203332901001,0.8436999917030334,1.0000001e-05
0.5019187331199646,1.0,0.8791437745094299,0.8435999751091003,1.0000001e-05
0.5018937587738037,1.0,0.8793671727180481,0.8435999751091003,1.0000001e-05
0.5018749833106995,1.0,0.8794422149658203,0.8439000248908997,1.0000001e-05
0.5018656253814697,1.0,0.8797531127929688,0.8436999917030334,1.0000001e-05
0.5018437504768372,1.0,0.8799757957458496,0.8436999917030334,1.0000001e-05
0.5018125176429749,1.0,0.8802890777587891,0.8434000015258789,1.0000001e-05
0.5017625093460083,1.0,0.8804265856742859,0.8435999751091003,1e-05
0.5017250180244446,1.0,0.8808234333992004,0.8435999751091003,1e-05
0.5016999840736389,1.0,0.8809609413146973,0.8435999751091003,1e-05
0.5016624927520752,1.0,0.8813226819038391,0.8434000015258789,1e-05
0.5016343593597412,1.0,0.8815218806266785,0.8438000082969666,1e-05
0.5015843510627747,1.0,0.8818827867507935,0.8434000015258789,1e-05
0.5015562772750854,1.0,0.8822078108787537,0.8436999917030334,1e-05
0.5014843940734863,1.0,0.8824453353881836,0.843500018119812,1e-05
0.5014406442642212,1.0,0.8827054500579834,0.8431000113487244,1e-05
0.5013843774795532,1.0,0.8829789161682129,0.8434000015258789,1e-05
0.5013156533241272,1.0,0.8831546902656555,0.8434000015258789,1e-05
0.501240611076355,1.0,0.8836538791656494,0.8435999751091003,1e-05
0.5011625289916992,1.0,0.8838765621185303,0.8432999849319458,1e-05
0.5011000037193298,1.0,0.8841890692710876,0.8432999849319458,1e-05
0.501059353351593,1.0,0.8845265507698059,0.8431000113487244,1e-05
0.5009655952453613,1.0,0.8847890496253967,0.8431000113487244,1e-05
0.5009156465530396,1.0,0.8851257562637329,0.8428000211715698,1e-05
0.5008624792098999,1.0,0.8854617476463318,0.8431000113487244,1e-05
0.5008218884468079,1.0,0.8857499957084656,0.8427000045776367,1e-05
0.5007687211036682,1.0,0.8860383033752441,0.8425999879837036,1e-05
